Code,Species,CommonName,Family,Form,Syn
ABCO,Abies concolor,white fir,Pinaceae,TC,
ABGR,Abies grandis,grand fir,Pinaceae,TC,
ABLA,Abies lasiocarpa,silver fir,Pinaceae,TC,
ABMAS,Abies magnifica var. shastensis,Shasta fir,Pinaceae,TC,
ABPR,Abies procera,noble fir,Pinaceae,TC,
ACCI,Acer circinatum,vine maple,Sapindaceae,TB,
ACCO4,Aconitum columbianum,Columbia monkshood,Ranunculaceae,F,
ACGLD2,Acer glabrum var. douglasii,Douglas maple,Sapindaceae,TB,
ACLE8,Achnatherum lemmonii,Lemmon's needlegrass,Poaceae,GG,
ACMA3,Acer macrophyllum,big-leaf maple,Sapindaceae,TB,
ACMI2,Achillea millefolium,common yarrow,Asteraceae,F,
ACMO2,Achyrachaena mollis,blow wives,Asteracese,F,
ACOCC,Achnatherum occidentalis ssp. californicum,California needlegrass,Poaceae,GG,
ACOCP,Achnatherum occidentale ssp. pubescens,Elmer's needlegrass,Poaceae,GG,
ACPH2,Aconogonon phytolaccifolium,poke knotweed,Polygonaceae,F,Polygonum phytolaccifolium
ACRE3,Acroptilon repens,Russian knapweed,Asteraceae,F,Centaurea repens
ACRU2,Actaea rubra,baneberry,Ranunculaceae,F,
ACTR,Achlys triphylla,vanillaleaf,Berberidaceae,F,
ADAL,Adiantum aleuticum,maidenhair fern,Pteridaceae,FN,
ADBI,Adenocaulon bicolor,trail plant,Asteraceae,F,
ADJO,Adiantum jordanii,California maidenhair,Pteridaceae,FN,
AGST2,Agrostis stolonifera,spreading bentgrass,Poaceae,GG,Agrostis alba
AGAU2,Agoseris aurantiaca,orange agoseris,Asteraceae,F,
AGCA5,Agrostis capillaris,colonial bentgrass,Poaceae,GG,
AGEX,Agrostis exarata,spike bentgrass,Poaceae,GG,
ANHO,Antennaria howellii,field pussy-toes,Asteraceae,F,Antennaria neglecta
ANLY,Anemone lyallii,Lyall's anemone,Ranunculaceae,F,
ANMA,Anaphalis margaritacea,pearly-everlasting,Asteraceae,F,
ANMA26,Anisocarpus madioides,woodland tarweed,Asteraceae,F,Madia madioides
ANHO,Antennaria howellii,field pussy-toes,Asteraceae,F,Antennaria neglecta
ANOC3,Anticlea occidentale,western stenanthium,Melanthiaceae,F,Stenanthium occidentale
ANOD,Anthoxanthum odoratum,sweet vernal grass,Poaceae,GG,
ANOR,Anemone oregana,Oregon anemone,Ranunculaceae,F,
ANRA,Antennaria racemosa,raceme pussy-toes,Asteraceae,F,
ANRO2,Antennaria rosea,rosy everlasting,Asteraceae,F,
ANSU3,Antennaria suffrutescens,evergreen everlasting,Asteraceae,F,
ANTEN,Antennaria sp.,pusseytoes,Asteraceae,F,
APAN2,Apocynum androsaemifolium,spreading dogbane,Apocynaceae,F,
APCA,Apocynum cannabinum,indian hemp,Apocynaceae,F,
APOC,Aphanes occidentalis,western lady's mantle,Rosaceae,F,
AQFO,Aquilegia formosa,Sitka columbine,Ranunculaceae,F,
ARCA3,Arceuthobium campylopodum,western dwarf mistletoe,Santalaceae,F,Arceuthobium abietinum
ARAC4,Arabis aculeolata,Waldo rock cress,Brassicaceae,F,
BEOR,Bensoniella oregona,Oregon bensoniella,Saxifragaceae,F,
BEPE2,Bellis perenis,lawndaisy,Asteraceae,F,
BEPI2,Berberis piperiana,Piper's Oregongrape,Berberidaceae,S,
BEPU,Berberis pumila,pygmy Oregongrape,Berberidaceae,S,
BERE,Berberis repens,creeping Oregongrape,Berberidaceae,S,
BIBI?,Bistorta bistortoides,American knotweed,Polygonaceae,F,Polygonum bistortoides
BIFR,Bidens frondosa,sticktight,Asteraceae,F,
BLSC,Blepharipappus scaber,blepharipappus,Asteraceae,F,
BLSP,Blechnum spicant,deer fern,Blechnaceae,FN,
CAPR5,Carex praegracilis,clustered field sedge,Cyperaceae,GS,
CAQUB2,Camassia quamash ssp. breviflora,small flowered camas,Asparagaceae,F,
CAQUQ,Camassia quamash ssp. quamash,common camas,Asparagaceae,F,
CAQUW,Camassia quamash ssp. walpolei,Walpole's small camas,Asparagaceae,F,
CAREX,Carex sp.,sedge species,Cyperaceae,GS,
CARO5,Carex rossii,Ross sedge,Cyperaceae,GS,
CASC7,Campanula scouleri,Scouler's harebell,Campanulaceae,F,
CASC14,Carex scabriuscula,Siskiyou sedge,Cyperaceae,GS,Carex gigas
CASE2,Carex serratodens,two-tooth sedge,Cyperaceae,GS,
CASE50,Carex serpentinicola,serpentine sedge,Cyperaceae,GS,
CYOF,Cynoglossum officinale,burgundy hound's tongue,Boraginaceae,F,
CYSC4,Cytisus scoparius,Scotch broom,Fabaceae,S,
DACA3,Danthonia californica,California oatgrass,Poaceae,GG,
DACA5,Darlingtonia californica,California pitcher-plant,Sarraceniaceae,F,
DACA6,Daucus carota,Queen Anne's lace,Apiaceae,F,
DAGL,Dactylis glomerata,orchard grass,Poaceae,GG,
DAIN,Danthonia intermedia,timber oatgrass,Poaceae,GG,
DAPE,Darmera peltata,umbrella plant,Saxifragaceae,F,
DAPU3,Daucus pusillus,little wild carrot,Apiaceae,F,
DAUN,Danthonia unispicata,onespike oatgrass,Poaceae,GG,
DECA18,Deschampsia cespitosa,tufted hairgrass,Poaceae,GG,
DEDA,Deschampsia danthanoides,annual hairgrass,Poaceae,GG,
DEDE2,Delphinium depauperatum,dwarf larkspur,Ranunculaceae,F,
DEEL,Deschampsia elongata,slender hairgrass,Poaceae,GG,
DEGL,Delphinium glaucum,pale larkspur,Ranunculaceae,F,
DELPH,Delphinium sp.,larkspur species,Ranunculaceae,F,
DEME,Delphinium menziesii,Menzies's larkspur,Ranunculaceae,F,
DENU,Delphinium nudicaule,red larkspur,Ranunculaceae,F,
DENU2,Delphinium nuttallianum,"meadow" or "slim larkspur",Ranunculaceae,F,
DEPI,Descurainia pinnata,western tansymustard,Brassicaceae,F,
DIACF,Dichanthelium acuminatum var. fasciulatum,Pacific panicum,Poaceae,GG,Panicum acuminatum 
DIAR,Dianthus armeria ssp. armeria,grass pink,Caryophyllaceae,F,
DICA14,Dichelostemma capitatum,blue dicks,Asparagaceae,F,
DICO19,Dichelostemma congestum,ookow,Asparagaceae,F,
DIFO,Dicentra formosa,Pacific bleedingheart,Papaveraceae,F,
DIFOO,Dicentra formosa ssp. oregona,Oregon bleedingheart,Papaveraceae,F,
DIFU2,Dipsacus fullonum,wild teasel,Dipsacaceae,F,
PRHO2,Prosartes hookeri,Oregon fairybell,Liliaceae,F,Disporum hookeri
DIMU5,Dichelostemma multiflorum,wild hyacinth,Asparagaceae,F,
DIPA,Dicentra pauciflora,few-flowered bleedingheart,Fumariaceae,F,
DIPU,Digitalis purpurea,foxglove,Plantaginaceae,F,
DISA9,Dipsacus sativus ,Indian teasle,Dipsacaceae,F,
PRSM,Prosartes smithii,Smith's fairbell,Liliaceae,F,Disporum smithii
DOAL,Dodecatheon alpinum,alpine shooting star,Primulaceae,F,
DOBA,Downingia bacigalupii,Bach's downingia,Campanulaceae,F,
DOHE,Dodecatheon hendersonii,Henderson's shooting star,Primulaceae,F,
DOPU,Dodecatheon pulchellum,few-flowered shooting star,Primulaceae,F,
DOYI,Downingia yina,Cascade downingia,Campanulaceae,F,
GOOB2,Goodyera oblongifolia,rattlesnake-plantain,Orchidaceae,F,
GREB,Gratiola ebracteata,bractless hedgehyssop,Plantaginaceae,F,
GRNA,Grindelia nana var. nana,Idaho gumplant,Asteraceae,F,
HAAL2,Hastingsia alba,white-flowered rush lily,Asparagaceae,F,
HABRA2,Hastingsia bracteosa var. atropurpurea,purple-flowered rush lily,Asparagaceae,F,Hastingsia atropupurea
HABE,Hackelia bella,large flowered hackelia,Boraginaceae,F,
HABRB,Hastingsia bracteosa var. bracteosa,large-flowered rush lily,Asparagaceae,F,
HABRA2,Hastingsia bracteosa var. atropurpurea,purple-flowered rush lily,Asparagaceae,F,Hastingsia atropupurea
HACA,Hackelia californica,California stickseed,Boraginaceae,F,
HAMI,Hackelia micrantha,Jessica's tickweed,Boraginaceae,F,
HAAL2,Hastingsia alba,white-flowered rush lily,Asparagaceae,F,Hastingia serpenticola
HAWHD2,Hazardia whitneyi var. discoidea,Whitney's haplopappus,Asteraceae,F,
HEACR,Hesperevax acaulis var. robustior,robust evax,Asteraceae,F,
HEBI,Helenium bigelovii,Bigelow's sneezeweed,Asteraceae,F,
MEIN,Melilotus indicus,yellow sweet clover,Fabaceae,F,
MELA2,Mentzelia laevicaulis,smoothstem blazingstar,Loasaceae,F,
MENTHA,Mentha sp.,mint,Lamiaceae,F,
MICROS,Microseris sp.,microseris,Asteraceae,F,
MIDE,Mimulus dentatus,toothed monkeyflower,Phrymaceae,F,
MIDI4,Mitella diversifolia,angleleaf miterwort,Saxifragaceae,F,
MIDO3,Minuartia douglasii,Douglas's sandwort,Caryophyllaceae,F,
MIDO2,Mimulus douglasii,Douglas's monkeyflower,Phrymaceae,F,
MIFL2,Mimulus floribundus,many flowered monkeyflower,Phrymaceae,F,
MIGRG4,Microsteris gracilis var. gracilis,pink annual phlox,Polemoniaceae,F,Phlox gracilis
MIGU,Mimulus guttatus,yellow monkeyflower,Phrymaceae,F,
MIHO,Minuartia howellii,Howell's sandwort,Caryophyllaceae,F,
MIHO?,Micranthes howellii,Howell's saxifrage,Saxifragaceae,F,Saxifraga howellii
MIHO2,Microseris howellii,Howell's microseris,Asteraceae,F,
MIIN?,Micranthes integrifolia,northwestern saxifrage,Saxifragaceae,F,Saxifraga integrifolia
MIKE,Mimulus kelloggii,Kellogg's monkeyflower,Phrymaceae,F,
MILA,Microseris lacinata,cut-leaved microseris,Asteraceae,F,
MILAD,Microseris laciniata ssp. detlingii,Detling's microseris,Asteraceae,F,
MILAL,Microseris laciniata ssp. laciniata,cut-leaved microseris,Asteraceae,F,
MILAS,Microseris laciniata ssp. siskiyouensis,Siskiyou microseris,Asteraceae,F,
